time(s)	cellId	rnti	lcid	packetSize
4.312	3	2	3	167
4.32	3	2	3	56
4.324	3	4	3	255
4.325	3	4	3	191
4.326	3	2	3	56
4.328	3	1	3	382
4.329	3	1	3	64
4.331	1	3	3	112
4.331	1	2	3	272
4.332	1	4	3	167
4.332	1	2	3	112
4.332	3	2	3	239
4.341	3	2	3	128
4.344	3	4	3	247
4.345	3	4	3	56
4.347	3	2	3	318
4.357	3	1	3	302
4.36	3	2	3	120
4.361	3	4	3	191
4.366	3	2	3	445
4.367	1	3	3	112
4.367	1	2	3	272
4.368	1	4	3	445
4.368	1	2	3	96
4.374	1	1	3	56
4.374	3	2	3	128
4.38	3	2	3	128
4.381	3	4	3	255
4.382	3	1	3	191
4.386	3	2	3	120
4.392	3	2	3	112
4.395	1	4	3	191
4.395	1	3	3	112
4.395	1	2	3	255
4.398	3	2	3	56
4.401	3	4	3	120
4.402	3	4	3	56
4.404	3	2	3	56
4.405	3	1	3	255
4.41	3	2	3	112
4.416	3	2	3	56
4.419	1	4	3	111
4.419	1	3	3	167
4.419	1	2	3	191
4.42	1	4	3	111
4.421	1	4	3	85
4.421	1	2	3	64
4.421	1	1	3	56
4.421	3	4	3	56
4.424	3	1	3	175
4.426	3	4	3	56
4.427	3	2	3	112
4.433	3	2	3	112
4.441	3	2	3	56
4.445	3	2	3	56
4.446	3	4	3	112
4.451	3	2	3	167
4.453	1	4	3	255
4.453	1	3	3	167
4.453	1	2	3	112
4.453	3	1	3	112
4.459	3	2	3	56
4.465	3	2	3	56
4.466	3	4	3	112
4.471	3	2	3	167
4.475	1	1	3	111
4.477	3	1	3	112
4.478	3	2	3	56
4.483	1	4	3	120
4.483	1	3	3	167
4.483	1	2	3	112
4.484	1	4	3	56
4.484	1	1	3	3
4.484	3	2	3	112
4.49	3	2	3	167
4.491	3	4	3	167
4.498	3	2	3	56
4.502	3	1	3	112
4.504	3	2	3	56
4.509	3	2	3	239
4.516	3	4	3	56
4.517	3	4	3	112
4.517	3	2	3	128
4.518	1	4	3	112
4.518	1	3	3	167
4.518	1	2	3	112
4.523	3	2	3	318
4.527	3	1	3	167
4.529	1	1	3	56
4.532	3	2	3	120
4.537	3	4	3	167
4.537	3	2	3	191
